pdam_00017423-RA  ( 231 ) -> [  Q8NGZ6  | percent(87.01 ) | e_value( 9E-31 ) | protein_name( OR6F1_HUMAN Olfactory receptor 6F1  ) | prob( 99.9 ) | p_value( 2.2E-34 ) | Score( 239.0 ) | SS( 0.0 ) | Cols( 268 ) | QueryHMM( 23-300 ) ]

pdam_00020860-RA  ( 129 ) -> [  Q8NGZ0  | percent(82.32 ) | e_value( 9.5E-33 ) | protein_name( O2AJ1_HUMAN Olfactory receptor 2AJ1  ) | prob( 99.9 ) | p_value( 2.5E-36 ) | Score( 219.5 ) | SS( 0.0 ) | Cols( 270 ) | QueryHMM( 24-307 ) ]

pdam_00017300-RA  ( 56 ) -> [  P0C7N5  | percent(69.58 ) | e_value( 9E-40 ) | protein_name( OR8U9_HUMAN Olfactory receptor 8U9  ) | prob( 100.0 ) | p_value( 2.4E-43 ) | Score( 296.3 ) | SS( 0.0 ) | Cols( 215 ) | QueryHMM( 4-305 ) ]

pdam_00013387-RA  ( 51 ) -> [  P41231  | percent(75.33 ) | e_value( 9E-31 ) | protein_name( P2RY2_HUMAN P2Y purinoceptor 2  ) | prob( 99.9 ) | p_value( 2.4E-34 ) | Score( 225.9 ) | SS( 0.0 ) | Cols( 284 ) | QueryHMM( 29-317 ) ]

pdam_00002661-RA  ( 26 ) -> [  Q13585  | percent(45.71 ) | e_value( 8.4E-40 ) | protein_name( MTR1L_HUMAN Melatonin-related receptor  ) | prob( 100.0 ) | p_value( 2.4E-43 ) | Score( 269.8 ) | SS( 0.0 ) | Cols( 282 ) | QueryHMM( 26-310 ) ]

pdam_00013919-RA  ( 17 ) -> [  P32249  | percent(83.10 ) | e_value( 8.9E-37 ) | protein_name( GP183_HUMAN G-protein coupled receptor 183  ) | prob( 100.0 ) | p_value( 2.6E-40 ) | Score( 230.4 ) | SS( 0.0 ) | Cols( 300 ) | QueryHMM( 19-326 ) ]

pdam_00008152-RA  ( 15 ) -> [  O95838  | percent(66.37 ) | e_value( 9.2E-44 ) | protein_name( GLP2R_HUMAN Glucagon-like peptide 2 receptor  ) | prob( 100.0 ) | p_value( 1.9E-47 ) | Score( 354.1 ) | SS( 0.0 ) | Cols( 367 ) | QueryHMM( 58-458 ) ]

pdam_00013920-RA  ( 12 ) -> [  P32247  | percent(74.19 ) | e_value( 9E-39 ) | protein_name( BRS3_HUMAN Bombesin receptor subtype-3  ) | prob( 100.0 ) | p_value( 2.6E-42 ) | Score( 243.3 ) | SS( 0.0 ) | Cols( 296 ) | QueryHMM( 47-351 ) ]

pdam_00013921-RA  ( 11 ) -> [  P51686  | percent(76.15 ) | e_value( 7.8E-35 ) | protein_name( CCR9_HUMAN C-C chemokine receptor type 9  ) | prob( 100.0 ) | p_value( 2.2E-38 ) | Score( 221.6 ) | SS( 0.0 ) | Cols( 281 ) | QueryHMM( 45-333 ) ]

pdam_00007315-RA  ( 10 ) -> [  O60353  | percent(67.00 ) | e_value( 8E-73 ) | protein_name( FZD6_HUMAN Frizzled-6  ) | prob( 100.0 ) | p_value( 1.9E-76 ) | Score( 538.3 ) | SS( 0.0 ) | Cols( 473 ) | QueryHMM( 21-512 ) ]

pdam_00019641-RA  ( 7 ) -> [  Q96G91  | percent(72.19 ) | e_value( 7E-22 ) | protein_name( P2Y11_HUMAN P2Y purinoceptor 11  ) | prob( 99.7 ) | p_value( 1.6E-25 ) | Score( 186.9 ) | SS( 0.0 ) | Cols( 270 ) | QueryHMM( 34-326 ) ]

pdam_00010734-RA  ( 7 ) -> [  P43119  | percent(75.39 ) | e_value( 4.8E-24 ) | protein_name( PI2R_HUMAN Prostacyclin receptor  ) | prob( 99.8 ) | p_value( 1.4E-27 ) | Score( 160.3 ) | SS( 0.0 ) | Cols( 291 ) | QueryHMM( 18-313 ) ]

pdam_00017304-RA  ( 6 ) -> [  Q96P65  | percent(67.52 ) | e_value( 9.5E-39 ) | protein_name( QRFPR_HUMAN Pyroglutamylated RF-amide peptide receptor  ) | prob( 100.0 ) | p_value( 2.7E-42 ) | Score( 247.1 ) | SS( 0.0 ) | Cols( 291 ) | QueryHMM( 44-347 ) ]

pdam_00019640-RA  ( 6 ) -> [  P11229  | percent(40.43 ) | e_value( 9.7E-45 ) | protein_name( ACM1_HUMAN Muscarinic acetylcholine receptor M1  ) | prob( 100.0 ) | p_value( 2.4E-48 ) | Score( 338.4 ) | SS( 0.0 ) | Cols( 186 ) | QueryHMM( 31-217 ) ]

pdam_00008454-RA  ( 6 ) -> [  P32302  | percent(75.54 ) | e_value( 5.6E-37 ) | protein_name( CXCR5_HUMAN C-X-C chemokine receptor type 5  ) | prob( 100.0 ) | p_value( 1.5E-40 ) | Score( 245.5 ) | SS( 0.0 ) | Cols( 281 ) | QueryHMM( 53-343 ) ]

pdam_00004028-RA  ( 6 ) -> [  P30968  | percent(86.28 ) | e_value( 8.9E-28 ) | protein_name( GNRHR_HUMAN Gonadotropin-releasing hormone receptor  ) | prob( 99.9 ) | p_value( 2.6E-31 ) | Score( 177.3 ) | SS( 0.0 ) | Cols( 283 ) | QueryHMM( 36-327 ) ]

pdam_00017455-RA  ( 5 ) -> [  Q6DWJ6  | percent(75.92 ) | e_value( 5.4E-28 ) | protein_name( GP139_HUMAN Probable G-protein coupled receptor 139  ) | prob( 99.9 ) | p_value( 1.5E-31 ) | Score( 180.3 ) | SS( 0.0 ) | Cols( 268 ) | QueryHMM( 28-307 ) ]

pdam_00009436-RA  ( 5 ) -> [  Q5T6X5  | percent(82.83 ) | e_value( 3.9E-76 ) | protein_name( GPC6A_HUMAN G-protein coupled receptor family C group 6 member A  ) | prob( 100.0 ) | p_value( 1E-79 ) | Score( 578.7 ) | SS( 0.0 ) | Cols( 767 ) | QueryHMM( 26-858 ) ]

pdam_00006668-RA  ( 4 ) -> [  O60242  | percent(33.38 ) | e_value( 9E-69 ) | protein_name( AGRB3_HUMAN Adhesion G protein-coupled receptor B3  ) | prob( 100.0 ) | p_value( 2E-72 ) | Score( 575.8 ) | SS( 0.0 ) | Cols( 508 ) | QueryHMM( 569-1167 ) ]

pdam_00022316-RA  ( 4 ) -> [  P50406  | percent(68.18 ) | e_value( 5.5E-37 ) | protein_name( 5HT6R_HUMAN 5-hydroxytryptamine receptor 6  ) | prob( 100.0 ) | p_value( 1.6E-40 ) | Score( 231.5 ) | SS( 0.0 ) | Cols( 300 ) | QueryHMM( 42-345 ) ]

pdam_00003579-RA  ( 4 ) -> [  O15303  | percent(91.79 ) | e_value( 4.6E-97 ) | protein_name( GRM6_HUMAN Metabotropic glutamate receptor 6  ) | prob( 100.0 ) | p_value( 1E-100 ) | Score( 723.1 ) | SS( 0.0 ) | Cols( 805 ) | QueryHMM( 34-856 ) ]

pdam_00011076-RA  ( 4 ) -> [  P21452  | percent(74.62 ) | e_value( 9.2E-43 ) | protein_name( NK2R_HUMAN Substance-K receptor  ) | prob( 100.0 ) | p_value( 2.4E-46 ) | Score( 290.8 ) | SS( 0.0 ) | Cols( 297 ) | QueryHMM( 34-330 ) ]

pdam_00008579-RA  ( 4 ) -> [  P23945  | percent(67.48 ) | e_value( 6.1E-45 ) | protein_name( FSHR_HUMAN Follicle-stimulating hormone receptor  ) | prob( 100.0 ) | p_value( 1.7E-48 ) | Score( 343.9 ) | SS( 0.0 ) | Cols( 469 ) | QueryHMM( 176-648 ) ]

pdam_00005244-RA  ( 4 ) -> [  Q9H340  | percent(77.24 ) | e_value( 7.7E-22 ) | protein_name( O51B6_HUMAN Olfactory receptor 51B6  ) | prob( 99.7 ) | p_value( 1.8E-25 ) | Score( 192.2 ) | SS( 0.0 ) | Cols( 241 ) | QueryHMM( 33-306 ) ]

pdam_00000782-RA  ( 3 ) -> [  Q14832  | percent(92.04 ) | e_value( 7E-100 ) | protein_name( GRM3_HUMAN Metabotropic glutamate receptor 3  ) | prob( 100.0 ) | p_value( 2E-103 ) | Score( 736.3 ) | SS( 0.0 ) | Cols( 809 ) | QueryHMM( 31-857 ) ]

pdam_00012246-RA  ( 3 ) -> [  O14718  | percent(88.43 ) | e_value( 9.4E-41 ) | protein_name( OPSX_HUMAN Visual pigment-like receptor peropsin  ) | prob( 100.0 ) | p_value( 2.7E-44 ) | Score( 243.5 ) | SS( 0.0 ) | Cols( 298 ) | QueryHMM( 17-315 ) ]

